array_type,size,algorithm,kind,time_ms,char_ops
almost,2200,StringQuickSort,specialized,0.192876,21837
almost,2200,StringMergeSort,specialized,1.378681,8852
almost,2200,MsdRadixSort,specialized,0.365987,4925
almost,2200,MsdRadixQuickSort,specialized,0.314635,12199
almost,2300,StandardQuickSort,standard,0.261731,35288
almost,2300,StandardMergeSort,standard,1.301350,25714
almost,2300,StringQuickSort,specialized,0.204361,23148
almost,2300,StringMergeSort,specialized,1.444410,9286
almost,2300,MsdRadixSort,specialized,0.380650,5150
almost,2300,MsdRadixQuickSort,specialized,0.331334,12735
almost,2400,StandardQuickSort,standard,0.265440,37014
almost,2400,StandardMergeSort,standard,1.406564,26828
almost,2400,StringQuickSort,specialized,0.222574,24989
almost,2400,StringMergeSort,specialized,1.573099,9727
almost,2400,MsdRadixSort,specialized,0.409333,5383
almost,2400,MsdRadixQuickSort,specialized,0.348188,13313
almost,2500,StandardQuickSort,standard,0.290023,38854
almost,2500,StandardMergeSort,standard,1.468868,27950
almost,2500,StringQuickSort,specialized,0.234063,25576
almost,2500,StringMergeSort,specialized,1.613677,10126
almost,2500,MsdRadixSort,specialized,0.436252,5610
almost,2500,MsdRadixQuickSort,specialized,0.357853,13878
almost,2600,StandardQuickSort,standard,0.309615,41541
almost,2600,StandardMergeSort,standard,1.468122,29273
almost,2600,StringQuickSort,specialized,0.246062,26579
almost,2600,StringMergeSort,specialized,1.663846,10589
almost,2600,MsdRadixSort,specialized,0.433726,5833
almost,2600,MsdRadixQuickSort,specialized,0.379875,14441
almost,2700,StandardQuickSort,standard,0.316315,43090
almost,2700,StandardMergeSort,standard,1.694099,30811
almost,2700,StringQuickSort,specialized,0.265468,27742
almost,2700,StringMergeSort,specialized,1.885489,11089
almost,2700,MsdRadixSort,specialized,0.453130,6056
almost,2700,MsdRadixQuickSort,specialized,0.418918,14967
